clip_id,scene_name,scene_desc,audio_path,duration,n_sources,source_1_role,source_1_type,source_1_onset,source_1_offset,source_1_caption,source_1_present,source_2_role,source_2_type,source_2_onset,source_2_offset,source_2_caption,source_2_present,source_3_role,source_3_type,source_3_onset,source_3_offset,source_3_caption,source_3_present,audio_natural,caption_accurate,notes
rv5_0048,concert_outdoor,Outdoor concert,audio/rv5_0048.wav,10.2,3,music,music,1.5s,10.2s,A moment from a stand-up comedy performance featuring a male comedian delivering a joke with energet,True,sfx,sfx,5.1s,10.1s,"A studio-recorded performance by an adult male actor features a clear, resonant manic laugh followed",True,ambience,sfx,3.7s,8.7s,"The piercing and rhythmic scraping of claws on a hard surface sets an unsettling tone, with rapid, r",True,,,
rv5_0017,concert_outdoor,Outdoor concert,audio/rv5_0017.wav,8.5,3,music,music,1.3s,8.5s,"A male speaker declares triumphantly, followed by loud crowd cheering in a reverberant space.",True,sfx,sfx,1.1s,6.1s,"A set of keys falls onto a hard surface inside a small, acoustically reflective room, producing four",True,ambience,sfx,0.5s,5.5s,The audio captures a large diesel engine from an industrial vehicle or heavy machinery operating in ,True,,,
rv5_0111,concert_outdoor,Outdoor concert,audio/rv5_0111.wav,10.2,3,music,music,2.8s,10.2s,"A man suddenly shouts at the crowd, which responds with immediate and deafening cheers, captured in ",True,sfx,sfx,0.2s,5.2s,"A burst of applause occurs in a large, acoustically reflective space, followed by an abrupt, jarring",True,ambience,sfx,1.7s,6.7s,"The recording captures the uninterrupted rumble of a diesel engine, producing a steady low-frequency",True,,,
rv5_0103,speech_with_sfx,Someone talking with sound effects,audio/rv5_0103.wav,10.6,2,speech,speech,0.4s,5.7s,"A man speaking with a European accent shouts aggressively that he destroys people, immediately trigg",True,sfx,sfx,3.5s,8.5s,"The acoustic environment is notably quiet, characterized primarily by low-level, continuous ambient ",True,,,,,,,,,
rv5_0091,concert_outdoor,Outdoor concert,audio/rv5_0091.wav,10.2,3,music,music,3.0s,10.2s,A young adult male speaker with a General North American accent projects the words 'I just fucking d,True,sfx,sfx,5.0s,10.0s,"A young baby joyfully giggles with loud, rhythmic bursts, filling the quiet indoor space with natura",True,ambience,sfx,0.6s,5.6s,"This is a brief ambient field recording lasting 5 seconds, capturing a tranquil outdoor environment ",True,,,
rv5_0054,speech_with_music,Someone talking with background music,audio/rv5_0054.wav,8.9,2,speech,speech,1.9s,6.4s,"A young male speaker laughs in an energetic and performative tone, followed by a deep breath before ",True,music,music,2.4s,8.9s,"A studio-recorded comedic monologue featuring a male voice declaring, ""I just fucking destroy them!""",True,,,,,,,,,
rv5_0140,concert_outdoor,Outdoor concert,audio/rv5_0140.wav,8.0,3,music,music,0.7s,8.0s,"A young man, speaking with a North American accent and a voice slightly strained but controlled, let",True,sfx,sfx,2.9s,7.9s,"A woman lets out a short burst of laughter in a quiet room, her breathy giggles fading as the sound ",True,ambience,sfx,2.0s,7.0s,"A calm ambient sound of flowing water dominates the audio, with the continuous flow of a stream or r",True,,,
rv5_0022,speech_with_music,Someone talking with background music,audio/rv5_0022.wav,8.0,2,speech,speech,0.2s,4.2s,The audio features a dramatic orchestral build with sweeping strings and brass chords creating a ten,True,music,music,2.1s,8.0s,"A man in his late 20s to early 40s, with a distinct Southern British accent, delivers a clear and fo",True,,,,,,,,,
rv5_0129,speech_with_sfx,Someone talking with sound effects,audio/rv5_0129.wav,10.5,2,speech,speech,4.1s,9.4s,"A male speaker in a large, reverberant space begins with an audible sigh, followed by a sharp, loud ",True,sfx,sfx,2.5s,7.5s,"A single hand clap occurs in a small, reverberant indoor space with hard surfaces, producing a sharp",True,,,,,,,,,
rv5_0186,concert_outdoor,Outdoor concert,audio/rv5_0186.wav,8.2,3,music,music,1.4s,8.2s,"A man's sharp, guttural exhalation immediately precedes a loud crowd's unified shout within a reverb",True,sfx,sfx,0.3s,5.3s,"A low-frequency, distorted thud resembling a bass drum strike erupts sharply at the onset of the rec",True,ambience,sfx,2.9s,7.9s,The audio captures a single catastrophic explosion with no human presence or ambient environmental s,True,,,
