scene_id,template,mixture_path,duration,n_events,first_event_text
mix_000001,rich_band,audio/mix_000001.wav,24.6,5,电子伴奏循环播放。
mix_000002,complex_cocktail,audio/mix_000002.wav,11.3,5,电子伴奏循环播放。
mix_000003,lyrics_over_music,audio/mix_000003.wav,15.4,2,Background music plays steadily.
mix_000004,music_with_sfx,audio/mix_000004.wav,17.6,2,背景音乐持续播放，节奏平稳。
mix_000005,overlapping_speakers,audio/mix_000005.wav,5.0,2,一名说话者正在讲话。
mix_000006,lyrics_over_music,audio/mix_000006.wav,16.0,2,电子伴奏循环播放。
mix_000007,complex_cocktail,audio/mix_000007.wav,10.8,5,背景音乐持续播放，节奏平稳。
mix_000008,speech_music_sfx,audio/mix_000008.wav,15.9,3,背景音乐持续播放，节奏平稳。
mix_000009,overlapping_speakers,audio/mix_000009.wav,11.7,2,一名说话者正在讲话。
mix_000010,ambient_with_intermittent_sfx,audio/mix_000010.wav,10.8,2,Ambient room tone.
mix_000011,multi_event_dense,audio/mix_000011.wav,10.7,4,Background music plays steadily.
mix_000012,overlapping_speakers,audio/mix_000012.wav,11.2,2,一名说话者正在讲话。
mix_000013,music_with_sfx,audio/mix_000013.wav,12.5,2,Background music plays steadily.
mix_000014,complex_cocktail,audio/mix_000014.wav,21.8,4,Background music plays steadily.
mix_000015,ambient_with_intermittent_sfx,audio/mix_000015.wav,12.1,2,持续的环境噪声。
mix_000016,music_with_sfx,audio/mix_000016.wav,16.8,2,Background music plays steadily.
mix_000017,multi_event_dense,audio/mix_000017.wav,18.6,4,电子伴奏循环播放。
mix_000018,multi_event_dense,audio/mix_000018.wav,26.3,5,Background music plays steadily.
mix_000019,rich_band,audio/mix_000019.wav,27.2,5,电子伴奏循环播放。
mix_000020,rich_band,audio/mix_000020.wav,18.4,5,"""la la la, dancing in the rain"""
mix_000021,speech_music_sfx,audio/mix_000021.wav,25.8,3,电子伴奏循环播放。
mix_000022,complex_cocktail,audio/mix_000022.wav,24.6,5,背景音乐持续播放，节奏平稳。
mix_000023,rich_band,audio/mix_000023.wav,28.6,5,电子伴奏循环播放。
mix_000024,speech_music_lyrics_sfx,audio/mix_000024.wav,12.1,4,电子伴奏循环播放。
mix_000025,lyrics_over_music,audio/mix_000025.wav,17.1,2,Background music plays steadily.
mix_000026,speech_over_music,audio/mix_000026.wav,16.0,2,Background music plays steadily.
mix_000027,lyrics_over_music,audio/mix_000027.wav,14.2,2,背景音乐持续播放，节奏平稳。
mix_000028,ambient_with_intermittent_sfx,audio/mix_000028.wav,11.2,2,持续的环境噪声。
mix_000029,multi_event_dense,audio/mix_000029.wav,25.7,5,背景音乐持续播放，节奏平稳。
mix_000030,multi_event_dense,audio/mix_000030.wav,17.5,4,背景音乐持续播放，节奏平稳。
mix_000031,overlapping_speakers,audio/mix_000031.wav,8.8,2,说话者描述当前场景。
mix_000032,rich_band,audio/mix_000032.wav,24.1,5,电子伴奏循环播放。
mix_000033,music_with_sfx,audio/mix_000033.wav,28.4,2,背景音乐持续播放，节奏平稳。
mix_000034,complex_cocktail,audio/mix_000034.wav,26.0,6,背景音乐持续播放，节奏平稳。
mix_000035,overlapping_speakers,audio/mix_000035.wav,7.9,2,A speaker is talking.
mix_000036,isolated_sfx,audio/mix_000036.wav,3.9,1,短促的撞击声。
mix_000037,complex_cocktail,audio/mix_000037.wav,15.5,5,说话者描述当前场景。
mix_000038,lyrics_over_music,audio/mix_000038.wav,21.5,2,电子伴奏循环播放。
mix_000039,rich_band,audio/mix_000039.wav,12.4,5,背景音乐持续播放，节奏平稳。
mix_000040,speech_music_lyrics_sfx,audio/mix_000040.wav,24.0,4,电子伴奏循环播放。
mix_000041,isolated_sfx,audio/mix_000041.wav,5.7,1,一次玻璃破碎声。
mix_000042,overlapping_speakers,audio/mix_000042.wav,6.5,2,一名说话者正在讲话。
mix_000043,rich_band,audio/mix_000043.wav,28.4,5,电子伴奏循环播放。
mix_000044,music_with_sfx,audio/mix_000044.wav,10.3,2,Background music plays steadily.
mix_000045,speech_music_sfx,audio/mix_000045.wav,14.8,3,电子伴奏循环播放。
mix_000046,rich_band,audio/mix_000046.wav,22.7,5,Background music plays steadily.
mix_000047,music_with_sfx,audio/mix_000047.wav,22.2,2,Background music plays steadily.
mix_000048,overlapping_speakers,audio/mix_000048.wav,14.8,2,A speaker is talking.
mix_000049,music_with_sfx,audio/mix_000049.wav,10.1,2,Background music plays steadily.
mix_000050,multi_event_dense,audio/mix_000050.wav,17.6,5,电子伴奏循环播放。
mix_000051,complex_cocktail,audio/mix_000051.wav,23.2,4,Background music plays steadily.
mix_000052,lyrics_over_music,audio/mix_000052.wav,20.6,2,电子伴奏循环播放。
mix_000053,repeated_event,audio/mix_000053.wav,6.0,1,一次玻璃破碎声。
mix_000054,speech_music_sfx,audio/mix_000054.wav,10.4,3,A speaker is talking.
mix_000055,overlapping_speakers,audio/mix_000055.wav,8.5,2,说话者描述当前场景。
mix_000056,multi_event_dense,audio/mix_000056.wav,19.2,5,说话者描述当前场景。
mix_000057,speech_over_music,audio/mix_000057.wav,27.0,2,电子伴奏循环播放。
mix_000058,overlapping_speakers,audio/mix_000058.wav,12.6,2,说话者描述当前场景。
mix_000059,speech_music_lyrics_sfx,audio/mix_000059.wav,13.9,4,背景音乐持续播放，节奏平稳。
mix_000060,overlapping_speakers,audio/mix_000060.wav,10.8,2,说话者描述当前场景。
mix_000061,rich_band,audio/mix_000061.wav,28.3,5,电子伴奏循环播放。
