clip_id,scene_name,scene_desc,audio_path,duration,n_sources,source_1_role,source_1_type,source_1_onset,source_1_offset,source_1_caption,source_2_role,source_2_type,source_2_onset,source_2_offset,source_2_caption,source_3_role,source_3_type,source_3_onset,source_3_offset,source_3_caption,audio_natural,caption_accurate,notes
rv2_0043,speech_with_sfx,Someone talking with sound effects,audio/rv2_0043.wav,9.7,2,speech,speech,3.4s,8.2s,Korean speech,sfx,sfx,4.4s,9.4s,Torching in a quiet interior.,,,,,,,,
rv2_0009,coffee_shop,A busy coffee shop,audio/rv2_0009.wav,9.6,3,music,music,1.3s,9.6s,game background music,sfx,sfx,2.0s,7.0s,"The sound features a powerful engine roar combined with a high-pitched screech, indicating a vehicle losing traction, all captured in clear detail wit",sfx,sfx,0.1s,5.1s,"The sharp, brittle sounds of someone opening a crinkly plastic snack bag fill a quiet space, their high-frequency clicks and snaps blending into a con",,,
rv2_0097,coffee_shop,A busy coffee shop,audio/rv2_0097.wav,11.0,3,music,music,2.1s,11.0s,game background music,sfx,sfx,3.7s,8.7s,"The sound is an orchestral piece, while the other is a train bell.",sfx,sfx,4.5s,9.5s,"The audio features a group of people clapping in unison at the start, followed by an extremely high-pitched scream at the end, creating a brief but in",,,
rv2_0088,speech_with_sfx,Someone talking with sound effects,audio/rv2_0088.wav,10.1,2,speech,speech,0.3s,5.3s,Korean speech,sfx,sfx,2.3s,7.3s,"A set of keys is shaken rapidly in immediate close proximity, producing a series of sharp, metallic, high-pitched clinks that pan from stereo left to ",,,,,,,,
rv2_0069,speech_with_sfx,Someone talking with sound effects,audio/rv2_0069.wav,8.4,2,speech,speech,0.0s,4.2s,English speech,sfx,sfx,2.7s,7.7s,"The audio captures a reverberant indoor hall filled with the energetic applause of a large audience, conveying excitement in a spacious, acoustically ",,,,,,,,
rv2_0021,speech_with_music,Someone talking with background music,audio/rv2_0021.wav,8.0,2,speech,speech,0.0s,4.1s,Korean speech,music,music,1.4s,8.0s,Chinese pop music with vocals,,,,,,,,
rv2_0124,speech_with_sfx,Someone talking with sound effects,audio/rv2_0124.wav,11.0,2,speech,speech,1.4s,6.9s,English speech,sfx,sfx,2.7s,7.7s,"A soft, muffled thud, originating from a hand striking a wooden block, resonates in a quiet indoor environment with clear acoustic isolation and minim",,,,,,,,
rv2_0015,speech_with_sfx,Someone talking with sound effects,audio/rv2_0015.wav,11.2,2,speech,speech,0.8s,6.4s,English speech,sfx,sfx,3.0s,8.0s,"A door is knocked three times on a wooden surface in a quiet, enclosed indoor space with noticeable reverberation.",,,,,,,,
rv2_0115,coffee_shop,A busy coffee shop,audio/rv2_0115.wav,11.2,3,music,music,2.0s,11.2s,Chinese pop music with vocals,sfx,sfx,1.2s,6.2s,"The scene has a quiet and steady atmosphere with three distinct sounds happening in order: first, a light tap; then, a small drop; finally, a louder m",sfx,sfx,6.0s,11.0s,"The scene transitions from a reverberant celebration with overlapping hand claps and indistinct cheers to a calm state filled with steady, natural bir",,,
rv2_0179,speech_with_sfx,Someone talking with sound effects,audio/rv2_0179.wav,11.1,2,speech,speech,5.8s,11.1s,Korean speech,sfx,sfx,0.3s,5.3s,"A series of distinct door knocks occur within a quiet residential entryway, followed by five steady and evenly spaced clock ticks.",,,,,,,,
