clip_id,scene_name,scene_desc,audio_path,duration,n_sources,source_1_role,source_1_type,source_1_onset,source_1_offset,source_1_caption,source_2_role,source_2_type,source_2_onset,source_2_offset,source_2_caption,source_3_role,source_3_type,source_3_onset,source_3_offset,source_3_caption,audio_natural,caption_accurate,notes
rv3b_0043,speech_with_sfx,Someone talking with sound effects,audio/rv3b_0043.wav,9.7,2,speech,speech,3.4s,8.2s,Korean speech,sfx,sfx,4.4s,9.4s,"A set of keys undergoes vigorous shaking in a confined indoor environment, producing a continuous and intense series of sharp, high-frequency metallic",,,,,,,,
rv3b_0009,coffee_shop,A busy coffee shop,audio/rv3b_0009.wav,9.6,3,music,music,1.3s,9.6s,game background music,sfx,sfx,2.0s,7.0s,"A steady, metallic ticking from a clock or timer fills a quiet, acoustically dry interior space—suggestive of a small room like a study or living room",sfx,sfx,0.1s,5.1s,There's too much going on in this audio.,,,
rv3b_0097,coffee_shop,A busy coffee shop,audio/rv3b_0097.wav,11.0,3,music,music,2.1s,11.0s,game background music,sfx,sfx,3.7s,8.7s,"A vehicle, with engine revving prominently, is being tested in a reverberant workshop setting from the start and continues to sound with consistent in",sfx,sfx,4.5s,9.5s,"The audio centers on a large, mixed-gender crowd in a reverberant indoor space erupting into rapid, overlapping clapping accompanied by loud, high-pit",,,
rv3b_0088,speech_with_sfx,Someone talking with sound effects,audio/rv3b_0088.wav,10.1,2,speech,speech,0.3s,5.3s,Korean speech,sfx,sfx,2.3s,7.3s,"The acoustic scene is dominated by a rapid succession of sharp, high-frequency sonic events consistent with metallic impacts—likely produced by the re",,,,,,,,
rv3b_0069,speech_with_sfx,Someone talking with sound effects,audio/rv3b_0069.wav,8.4,2,speech,speech,0.0s,4.2s,English speech,sfx,sfx,2.7s,7.7s,"The audio captures a sequence of deliberate mechanical operations beginning with the sharp snap of a plastic tab or latch being broken or released, fo",,,,,,,,
rv3b_0021,speech_with_music,Someone talking with background music,audio/rv3b_0021.wav,8.0,2,speech,speech,0.0s,4.1s,Korean speech,music,music,1.4s,8.0s,Chinese pop music with vocals,,,,,,,,
rv3b_0124,speech_with_sfx,Someone talking with sound effects,audio/rv3b_0124.wav,11.0,2,speech,speech,1.4s,6.9s,English speech,sfx,sfx,2.7s,7.7s,"In a quiet indoor space with hard surfaces that create noticeable reverberation, a series of metallic knocks is delivered, the first one striking at 0",,,,,,,,
rv3b_0015,speech_with_sfx,Someone talking with sound effects,audio/rv3b_0015.wav,11.2,2,speech,speech,0.8s,6.4s,English speech,sfx,sfx,3.0s,8.0s,"A slow, deliberate knocking on a wooden door is followed by a brief silence, then a harsh electronic buzz abruptly takes over the soundscape.",,,,,,,,
rv3b_0115,coffee_shop,A busy coffee shop,audio/rv3b_0115.wav,11.2,3,music,music,2.0s,11.2s,Chinese pop music with vocals,sfx,sfx,1.2s,6.2s,"The recording captures a moment in a home studio where a person eats a crisp, dry snack, likely a potato chip, with vivid crunching sounds that indica",sfx,sfx,6.0s,11.0s,"A large audience fills a grand auditorium or concert hall with enthusiastic applause, the sound spreading widely across a broad stereo field as thousa",,,
rv3b_0179,speech_with_sfx,Someone talking with sound effects,audio/rv3b_0179.wav,11.1,2,speech,speech,5.8s,11.1s,Korean speech,sfx,sfx,0.3s,5.3s,"A sequence of abrupt, sharp knocks on a wooden door sets an urgent tone in an indoor hallway, soon followed by two distinct, high-impact knocks at eve",,,,,,,,
