scene_id,template,mixture_path,duration,n_events,first_event_text
mix_000001,repeated_event,audio/mix_000001.wav,24.6,1,一次玻璃破碎声。
mix_000002,isolated_sfx,audio/mix_000002.wav,11.3,1,一次玻璃破碎声。
mix_000003,music_with_sfx,audio/mix_000003.wav,15.4,2,Background music plays steadily.
mix_000004,speech_over_music,audio/mix_000004.wav,17.6,2,背景音乐持续播放，节奏平稳。
mix_000005,speech_music_sfx,audio/mix_000005.wav,10.0,3,Background music plays steadily.
mix_000006,music_with_sfx,audio/mix_000006.wav,16.0,2,电子伴奏循环播放。
mix_000007,isolated_sfx,audio/mix_000007.wav,10.8,1,一次玻璃破碎声。
mix_000008,music_with_sfx,audio/mix_000008.wav,15.9,2,背景音乐持续播放，节奏平稳。
mix_000009,music_with_sfx,audio/mix_000009.wav,23.4,2,电子伴奏循环播放。
mix_000010,speech_music_sfx,audio/mix_000010.wav,11.6,3,Background music plays steadily.
mix_000011,ambient_with_intermittent_sfx,audio/mix_000011.wav,10.7,2,Ambient room tone.
mix_000012,speech_music_sfx,audio/mix_000012.wav,22.5,3,Background music plays steadily.
mix_000013,speech_over_music,audio/mix_000013.wav,12.5,2,Background music plays steadily.
mix_000014,isolated_sfx,audio/mix_000014.wav,21.8,1,远处的犬吠。
mix_000015,speech_music_sfx,audio/mix_000015.wav,14.2,3,背景音乐持续播放，节奏平稳。
mix_000016,speech_over_music,audio/mix_000016.wav,16.8,2,Background music plays steadily.
mix_000017,ambient_with_intermittent_sfx,audio/mix_000017.wav,18.6,2,雨声背景。
mix_000018,ambient_with_intermittent_sfx,audio/mix_000018.wav,26.3,2,Ambient room tone.
mix_000019,repeated_event,audio/mix_000019.wav,27.2,1,A glass breaking sound.
mix_000020,ambient_with_intermittent_sfx,audio/mix_000020.wav,18.4,2,Ambient room tone.
mix_000021,music_with_sfx,audio/mix_000021.wav,25.8,2,电子伴奏循环播放。
mix_000022,isolated_sfx,audio/mix_000022.wav,24.6,1,A glass breaking sound.
mix_000023,repeated_event,audio/mix_000023.wav,28.6,1,A glass breaking sound.
mix_000024,speech_music_sfx,audio/mix_000024.wav,12.1,3,电子伴奏循环播放。
mix_000025,music_with_sfx,audio/mix_000025.wav,17.1,2,Background music plays steadily.
mix_000026,speech_over_music,audio/mix_000026.wav,16.0,2,Background music plays steadily.
mix_000027,music_with_sfx,audio/mix_000027.wav,14.2,2,背景音乐持续播放，节奏平稳。
mix_000028,speech_music_sfx,audio/mix_000028.wav,12.3,3,背景音乐持续播放，节奏平稳。
mix_000029,ambient_with_intermittent_sfx,audio/mix_000029.wav,25.7,2,持续的环境噪声。
mix_000030,ambient_with_intermittent_sfx,audio/mix_000030.wav,17.5,2,持续的环境噪声。
mix_000031,music_with_sfx,audio/mix_000031.wav,17.6,2,电子伴奏循环播放。
mix_000032,repeated_event,audio/mix_000032.wav,24.1,1,远处的犬吠。
mix_000033,speech_over_music,audio/mix_000033.wav,28.4,2,背景音乐持续播放，节奏平稳。
mix_000034,repeated_event,audio/mix_000034.wav,26.0,1,远处的犬吠。
mix_000035,speech_music_sfx,audio/mix_000035.wav,15.8,3,电子伴奏循环播放。
mix_000036,speech_over_music,audio/mix_000036.wav,13.7,2,背景音乐持续播放，节奏平稳。
mix_000037,isolated_sfx,audio/mix_000037.wav,15.5,1,一次玻璃破碎声。
mix_000038,music_with_sfx,audio/mix_000038.wav,21.5,2,电子伴奏循环播放。
mix_000039,repeated_event,audio/mix_000039.wav,12.4,1,一次玻璃破碎声。
mix_000040,speech_music_sfx,audio/mix_000040.wav,24.0,3,电子伴奏循环播放。
mix_000041,speech_over_music,audio/mix_000041.wav,20.9,2,电子伴奏循环播放。
mix_000042,music_with_sfx,audio/mix_000042.wav,13.0,2,电子伴奏循环播放。
mix_000043,repeated_event,audio/mix_000043.wav,28.4,1,A glass breaking sound.
mix_000044,speech_over_music,audio/mix_000044.wav,10.3,2,说话者描述当前场景。
mix_000045,music_with_sfx,audio/mix_000045.wav,14.8,2,电子伴奏循环播放。
mix_000046,repeated_event,audio/mix_000046.wav,22.7,1,远处的犬吠。
mix_000047,speech_over_music,audio/mix_000047.wav,22.2,2,Background music plays steadily.
mix_000048,speech_music_sfx,audio/mix_000048.wav,29.7,3,Background music plays steadily.
mix_000049,speech_over_music,audio/mix_000049.wav,10.1,2,Background music plays steadily.
mix_000050,ambient_with_intermittent_sfx,audio/mix_000050.wav,17.6,2,雨声背景。
mix_000051,repeated_event,audio/mix_000051.wav,23.2,1,远处的犬吠。
mix_000052,music_with_sfx,audio/mix_000052.wav,20.6,2,电子伴奏循环播放。
mix_000053,speech_over_music,audio/mix_000053.wav,13.9,2,电子伴奏循环播放。
mix_000054,music_with_sfx,audio/mix_000054.wav,10.4,2,Background music plays steadily.
mix_000055,speech_music_sfx,audio/mix_000055.wav,16.9,3,电子伴奏循环播放。
mix_000056,ambient_with_intermittent_sfx,audio/mix_000056.wav,19.2,2,雨声背景。
mix_000057,speech_over_music,audio/mix_000057.wav,27.0,2,电子伴奏循环播放。
mix_000058,speech_music_sfx,audio/mix_000058.wav,25.2,3,背景音乐持续播放，节奏平稳。
mix_000059,isolated_sfx,audio/mix_000059.wav,13.9,1,一次玻璃破碎声。
mix_000060,speech_music_sfx,audio/mix_000060.wav,21.6,3,Background music plays steadily.
mix_000061,repeated_event,audio/mix_000061.wav,28.3,1,短促的撞击声。
mix_000062,speech_music_sfx,audio/mix_000062.wav,13.7,3,背景音乐持续播放，节奏平稳。
mix_000063,ambient_with_intermittent_sfx,audio/mix_000063.wav,17.5,2,Ambient room tone.
mix_000064,speech_music_sfx,audio/mix_000064.wav,11.3,3,Background music plays steadily.
mix_000065,speech_music_sfx,audio/mix_000065.wav,24.8,3,背景音乐持续播放，节奏平稳。
mix_000066,music_with_sfx,audio/mix_000066.wav,13.8,2,Background music plays steadily.
mix_000067,speech_music_sfx,audio/mix_000067.wav,28.6,3,背景音乐持续播放，节奏平稳。
mix_000068,music_with_sfx,audio/mix_000068.wav,16.9,2,电子伴奏循环播放。
mix_000069,speech_music_sfx,audio/mix_000069.wav,25.9,3,背景音乐持续播放，节奏平稳。
mix_000070,speech_over_music,audio/mix_000070.wav,12.0,2,电子伴奏循环播放。
mix_000071,speech_over_music,audio/mix_000071.wav,27.1,2,背景音乐持续播放，节奏平稳。
mix_000072,speech_over_music,audio/mix_000072.wav,14.1,2,电子伴奏循环播放。
mix_000073,speech_music_sfx,audio/mix_000073.wav,28.0,3,电子伴奏循环播放。
mix_000074,speech_music_sfx,audio/mix_000074.wav,13.5,3,一名说话者正在讲话。
mix_000075,music_with_sfx,audio/mix_000075.wav,13.3,2,Background music plays steadily.
mix_000076,speech_over_music,audio/mix_000076.wav,10.5,2,电子伴奏循环播放。
mix_000077,isolated_sfx,audio/mix_000077.wav,25.8,1,短促的撞击声。
mix_000078,repeated_event,audio/mix_000078.wav,10.4,1,短促的撞击声。
mix_000079,ambient_with_intermittent_sfx,audio/mix_000079.wav,15.3,2,雨声背景。
mix_000080,repeated_event,audio/mix_000080.wav,16.6,1,一次玻璃破碎声。
mix_000081,repeated_event,audio/mix_000081.wav,17.2,1,远处的犬吠。
mix_000082,ambient_with_intermittent_sfx,audio/mix_000082.wav,12.2,2,持续的环境噪声。
mix_000083,speech_music_sfx,audio/mix_000083.wav,20.3,3,背景音乐持续播放，节奏平稳。
mix_000084,music_with_sfx,audio/mix_000084.wav,10.7,2,背景音乐持续播放，节奏平稳。
mix_000085,isolated_sfx,audio/mix_000085.wav,24.7,1,远处的犬吠。
mix_000086,speech_over_music,audio/mix_000086.wav,25.0,2,背景音乐持续播放，节奏平稳。
mix_000087,repeated_event,audio/mix_000087.wav,10.7,1,一次玻璃破碎声。
mix_000088,repeated_event,audio/mix_000088.wav,15.3,1,一次玻璃破碎声。
mix_000089,repeated_event,audio/mix_000089.wav,22.8,1,一次玻璃破碎声。
mix_000090,speech_music_sfx,audio/mix_000090.wav,23.9,3,Background music plays steadily.
mix_000091,ambient_with_intermittent_sfx,audio/mix_000091.wav,17.1,2,雨声背景。
mix_000092,speech_music_sfx,audio/mix_000092.wav,25.4,3,Background music plays steadily.
mix_000093,music_with_sfx,audio/mix_000093.wav,19.1,2,电子伴奏循环播放。
mix_000094,speech_music_sfx,audio/mix_000094.wav,11.5,3,电子伴奏循环播放。
mix_000095,ambient_with_intermittent_sfx,audio/mix_000095.wav,28.5,2,Ambient room tone.
mix_000096,ambient_with_intermittent_sfx,audio/mix_000096.wav,23.3,2,持续的环境噪声。
mix_000097,isolated_sfx,audio/mix_000097.wav,14.5,1,远处的犬吠。
mix_000098,speech_over_music,audio/mix_000098.wav,19.6,2,Background music plays steadily.
mix_000099,speech_music_sfx,audio/mix_000099.wav,19.7,3,背景音乐持续播放，节奏平稳。
mix_000100,music_with_sfx,audio/mix_000100.wav,26.3,2,背景音乐持续播放，节奏平稳。
mix_000101,speech_music_sfx,audio/mix_000101.wav,29.7,3,Background music plays steadily.
mix_000102,repeated_event,audio/mix_000102.wav,19.0,1,短促的撞击声。
mix_000103,speech_over_music,audio/mix_000103.wav,17.7,2,电子伴奏循环播放。
mix_000104,isolated_sfx,audio/mix_000104.wav,20.5,1,短促的撞击声。
mix_000105,speech_over_music,audio/mix_000105.wav,27.3,2,背景音乐持续播放，节奏平稳。
mix_000106,speech_over_music,audio/mix_000106.wav,26.0,2,背景音乐持续播放，节奏平稳。
mix_000107,isolated_sfx,audio/mix_000107.wav,19.2,1,远处的犬吠。
mix_000108,music_with_sfx,audio/mix_000108.wav,20.0,2,电子伴奏循环播放。
mix_000109,repeated_event,audio/mix_000109.wav,29.2,1,短促的撞击声。
mix_000110,speech_over_music,audio/mix_000110.wav,16.7,2,电子伴奏循环播放。
mix_000111,speech_over_music,audio/mix_000111.wav,25.9,2,电子伴奏循环播放。
mix_000112,speech_music_sfx,audio/mix_000112.wav,20.4,3,背景音乐持续播放，节奏平稳。
mix_000113,speech_over_music,audio/mix_000113.wav,10.6,2,背景音乐持续播放，节奏平稳。
mix_000114,speech_music_sfx,audio/mix_000114.wav,27.8,3,电子伴奏循环播放。
mix_000115,ambient_with_intermittent_sfx,audio/mix_000115.wav,16.8,2,雨声背景。
mix_000116,speech_music_sfx,audio/mix_000116.wav,19.6,3,电子伴奏循环播放。
mix_000117,speech_music_sfx,audio/mix_000117.wav,13.7,3,电子伴奏循环播放。
mix_000118,speech_over_music,audio/mix_000118.wav,22.9,2,电子伴奏循环播放。
mix_000119,speech_music_sfx,audio/mix_000119.wav,12.4,3,背景音乐持续播放，节奏平稳。
mix_000120,speech_music_sfx,audio/mix_000120.wav,21.7,3,电子伴奏循环播放。
mix_000121,speech_music_sfx,audio/mix_000121.wav,13.6,3,Background music plays steadily.
mix_000122,music_with_sfx,audio/mix_000122.wav,21.4,2,电子伴奏循环播放。
mix_000123,music_with_sfx,audio/mix_000123.wav,16.1,2,电子伴奏循环播放。
mix_000124,ambient_with_intermittent_sfx,audio/mix_000124.wav,13.7,2,Ambient room tone.
mix_000125,speech_over_music,audio/mix_000125.wav,17.9,2,背景音乐持续播放，节奏平稳。
mix_000126,speech_over_music,audio/mix_000126.wav,24.1,2,背景音乐持续播放，节奏平稳。
mix_000127,ambient_with_intermittent_sfx,audio/mix_000127.wav,17.6,2,持续的环境噪声。
mix_000128,speech_over_music,audio/mix_000128.wav,15.4,2,说话者描述当前场景。
mix_000129,speech_over_music,audio/mix_000129.wav,17.1,2,背景音乐持续播放，节奏平稳。
mix_000130,speech_over_music,audio/mix_000130.wav,29.6,2,Background music plays steadily.
mix_000131,repeated_event,audio/mix_000131.wav,18.2,1,远处的犬吠。
mix_000132,ambient_with_intermittent_sfx,audio/mix_000132.wav,28.6,2,持续的环境噪声。
mix_000133,speech_over_music,audio/mix_000133.wav,21.8,2,电子伴奏循环播放。
mix_000134,music_with_sfx,audio/mix_000134.wav,14.1,2,Background music plays steadily.
mix_000135,speech_over_music,audio/mix_000135.wav,18.2,2,电子伴奏循环播放。
mix_000136,speech_over_music,audio/mix_000136.wav,13.5,2,背景音乐持续播放，节奏平稳。
mix_000137,speech_over_music,audio/mix_000137.wav,17.6,2,电子伴奏循环播放。
