clip_id,audio_path,duration,n_sources,source_categories,source_captions,audio_natural,caption_accurate,notes
realmix_0001,audio/realmix_0001.wav,8.0,2,cow | sneezing,"The audio features an intense and aggressive growl from a ti | A person in a quiet, indoor residential space sneezes sharpl",,,
realmix_0002,audio/realmix_0002.wav,8.0,2,hen | cow,A chaotic cacophony of mocking laughter from multiple indivi | The audio captures a sequence where cattle produce low-frequ,,,
realmix_0003,audio/realmix_0003.wav,8.0,2,clapping | crow,"A hand strikes a hard surface rapidly and consistently, prod | A human emits a prolonged, forceful scream within a small, a",,,
realmix_0004,audio/realmix_0004.wav,8.0,3,cow | fireworks | toilet_flush,"A massive cow emits a deep, sustained resonant call at the b | A sharp, resonant metallic clang strikes once at the start o | The audio captures the intense, immersive experience of a la",,,
realmix_0005,audio/realmix_0005.wav,8.0,2,siren | sheep,"A deep, ominous orchestral score unfolds in a vast, reverber | A sheep bleating loudly and continuously in a tranquil rural",,,
realmix_0006,audio/realmix_0006.wav,8.0,2,fireworks | pig,In a reverberant interior space characterized by hard surfac | The audio clip features a dog and the sound of someone dragg,,,
realmix_0007,audio/realmix_0007.wav,8.0,3,clock_alarm | laughing | airplane,"The audio features a loud, metallic ringing alarm with a cle | A lively indoor gathering fills the space with overlapping l | Passing cars in the middle of the night",,,
realmix_0008,audio/realmix_0008.wav,8.0,3,washing_machine | crackling_fire | church_bells,"A 5-second stereo field recording captures a sudden, powerfu | The sound of keys repeatedly dropping onto a hard surface cr | A large cast bronze bell rings once in a vast stone cathedra",,,
realmix_0009,audio/realmix_0009.wav,8.0,3,frog | pig | snoring,"A dog barking repeatedly in a quiet indoor environment with  | A human produces six abrupt, raspy coughs in quick successio | A deep, resonant growl from a large feline—likely a lion or ",,,
realmix_0010,audio/realmix_0010.wav,8.0,3,brushing_teeth | footsteps | breathing,"A sharp metallic rattling persists as a set of keys is conti | The sound of an apple being rolled along a table or a simila | A person is taking heavy, rapid breaths in a quiet, still in",,,
realmix_0011,audio/realmix_0011.wav,8.0,3,hand_saw | can_opening | clock_alarm,"A person scrapes metal against a hard surface with increasin | A brief, clean recording on a quiet indoor table captures tw | A high-pitched mechanical hum fills a quiet indoor space, st",,,
realmix_0012,audio/realmix_0012.wav,8.0,2,sheep | toilet_flush,"In this clip, the focus is entirely on a sheep or goat bleat | A spacious and reflective acoustic environment hosts two pri",,,
realmix_0013,audio/realmix_0013.wav,8.0,2,church_bells | washing_machine,"A slow, arpeggiated chord progression on a pipe organ create | A high-speed train rushes past on a bridge, its wheels clatt",,,
realmix_0014,audio/realmix_0014.wav,8.0,3,helicopter | chainsaw | rooster,"A train is approaching and passing through an enclosed space | The sound of a lawnmower moving away grows softer, then fade | A crow issues two rapid calls, one shortly followed by a sec",,,
realmix_0015,audio/realmix_0015.wav,8.0,3,clapping | clock_tick | glass_breaking,"A sudden burst of loud, rhythmic hand clapping erupts in a s | A domestic dining environment with a continuous, rhythmic ca | The audio clip features a single, sharp impact sound at the ",,,
realmix_0016,audio/realmix_0016.wav,8.0,2,crackling_fire | train,"A person operates a lighter and then lights a small fire wit | A massive train passes at high speed, generating a powerful ",,,
realmix_0017,audio/realmix_0017.wav,8.0,2,cat | train,"A quiet kitchen ambience is suddenly broken by two distinct, | The audio captures the mechanical sounds of a train entering",,,
realmix_0018,audio/realmix_0018.wav,8.0,3,laughing | insects | washing_machine,"A woman's breathy, joyful laugh fills the audio, recorded cl | A deep, guttural growl unfolds from a large, fictional creat | Set within a quiet, dry acoustic space and likely captured v",,,
realmix_0019,audio/realmix_0019.wav,8.0,2,cat | sheep,"Three high-pitched meows, each with a brief upward inflectio | A sheep's single, sharp bleat cuts through the quiet, sugges",,,
realmix_0020,audio/realmix_0020.wav,8.0,2,clapping | insects,"A toilet flushes forcefully within a small, hard-surfaced ba | A forceful male grunt or shout initiates the recording, imme",,,
realmix_0021,audio/realmix_0021.wav,8.0,2,fireworks | crow,"It's a fast-talking, fluent female voice speaking clearly an | The high-fidelity recording captures the sound of water fall",,,
realmix_0022,audio/realmix_0022.wav,8.0,2,glass_breaking | hand_saw,"A sudden metallic clang, like a handbell or gong strike, rin | A metal file repeatedly scrapes a hard surface at a steady p",,,
realmix_0023,audio/realmix_0023.wav,8.0,2,dog | siren,"The audio presents a continuous, unvarying recording of a sm | The audio captures two distinct emergency vehicle sirens in ",,,
realmix_0024,audio/realmix_0024.wav,8.0,3,snoring | footsteps | clapping,"A quiet indoor space holds a steady hum from a fan, and four | A person is running down a narrow flight of stairs in a dome | The sound of a train rolling along the tracks dominates the ",,,
realmix_0025,audio/realmix_0025.wav,8.0,2,pouring_water | footsteps,"A 5-second high-quality digital soundscape unfolds as the au | A quiet indoor space, possibly a bedroom, holds the stillnes",,,
realmix_0026,audio/realmix_0026.wav,8.0,3,brushing_teeth | sneezing | pig,"The wet sound of guinea pigs eating from a pen. | A quiet, close-mic'd audio captures a person sniffling in a  | A series of loud, deep barks from a large dog or wolf-like a",,,
realmix_0027,audio/realmix_0027.wav,8.0,3,glass_breaking | rain | pig,"A small metal pan falls from a countertop and strikes a hard | A medium-sized indoor environment with hard surfaces generat | The audio is a short, close-up recording of the sounds made ",,,
realmix_0028,audio/realmix_0028.wav,8.0,3,sheep | door_wood_knock | rooster,"A menacing growl, escalating into a deep, guttural roar, con | Two people tap on a wooden surface. | A rooster crows once in a quiet, open-air environment at daw",,,
realmix_0029,audio/realmix_0029.wav,8.0,3,door_wood_creaks | rain | drinking_sipping,"A small electric motor, likely from a kitchen gadget or pers | The intense roar of a massive waterfall dominates the sounds | A toilet flush occurs followed by a toilet refill sound, ins",,,
realmix_0030,audio/realmix_0030.wav,8.0,3,engine | clock_alarm | sea_waves,"The audio captures a lawnmower running steadily in an outdoo | A mechanical clock emits a steady, high-pitched ticking soun | The audio captures the massive roar of crashing ocean waves ",,,
realmix_0031,audio/realmix_0031.wav,8.0,3,vacuum_cleaner | cow | thunderstorm,"A powerful shower is running in a small, tiled bathroom, pro | A deep snore emitted by a sleeping adult male in a silent in | It's only got thunder in it!",,,
realmix_0032,audio/realmix_0032.wav,8.0,3,rooster | coughing | pouring_water,"The audio clip captures a single, clear rooster crow in an i | A high-fidelity, close-microphone recording documents four c | A hollow, thin-walled glass or ceramic cup is firmly placed ",,,
