scene_id,template,mixture_path,duration,n_events,first_event_text
mix_000001,random_mix,audio/mix_000001.wav,24.6,3,电子伴奏循环播放。
mix_000002,random_mix,audio/mix_000002.wav,11.3,2,一次玻璃破碎声。
mix_000003,random_mix,audio/mix_000003.wav,15.4,2,"""la la la, dancing in the rain"""
mix_000004,random_mix,audio/mix_000004.wav,17.6,3,A speaker is talking.
mix_000005,random_mix,audio/mix_000005.wav,10.0,2,A speaker is talking.
mix_000006,random_mix,audio/mix_000006.wav,16.0,4,Background music plays steadily.
mix_000007,random_mix,audio/mix_000007.wav,10.8,4,"""月亮代表我的心"""
mix_000008,random_mix,audio/mix_000008.wav,15.9,4,Background music plays steadily.
mix_000009,random_mix,audio/mix_000009.wav,23.4,2,"""take me home tonight"""
mix_000010,random_mix,audio/mix_000010.wav,11.6,3,A glass breaking sound.
mix_000011,random_mix,audio/mix_000011.wav,10.7,4,电子伴奏循环播放。
mix_000012,random_mix,audio/mix_000012.wav,22.5,2,一次玻璃破碎声。
mix_000013,random_mix,audio/mix_000013.wav,12.5,4,说话者描述当前场景。
mix_000014,random_mix,audio/mix_000014.wav,21.8,4,Background music plays steadily.
mix_000015,random_mix,audio/mix_000015.wav,14.2,4,说话者描述当前场景。
mix_000016,random_mix,audio/mix_000016.wav,16.8,3,说话者描述当前场景。
mix_000017,random_mix,audio/mix_000017.wav,18.6,4,Background music plays steadily.
mix_000018,random_mix,audio/mix_000018.wav,26.3,3,电子伴奏循环播放。
mix_000019,random_mix,audio/mix_000019.wav,27.2,4,背景音乐持续播放，节奏平稳。
mix_000020,random_mix,audio/mix_000020.wav,18.4,4,"""月亮代表我的心"""
mix_000021,random_mix,audio/mix_000021.wav,25.8,3,"""take me home tonight"""
mix_000022,random_mix,audio/mix_000022.wav,24.6,3,"""don't stop believing, hold on to that feeling"""
mix_000023,random_mix,audio/mix_000023.wav,28.6,2,"""don't stop believing, hold on to that feeling"""
mix_000024,random_mix,audio/mix_000024.wav,12.1,3,背景音乐持续播放，节奏平稳。
mix_000025,random_mix,audio/mix_000025.wav,17.1,4,一名说话者正在讲话。
mix_000026,random_mix,audio/mix_000026.wav,16.0,2,一次玻璃破碎声。
mix_000027,random_mix,audio/mix_000027.wav,14.2,2,背景音乐持续播放，节奏平稳。
mix_000028,random_mix,audio/mix_000028.wav,12.3,4,短促的撞击声。
mix_000029,random_mix,audio/mix_000029.wav,25.7,4,A speaker is talking.
mix_000030,random_mix,audio/mix_000030.wav,17.5,2,"""take me home tonight"""
mix_000031,random_mix,audio/mix_000031.wav,17.6,2,背景音乐持续播放，节奏平稳。
mix_000032,random_mix,audio/mix_000032.wav,24.1,2,"""月亮代表我的心"""
mix_000033,random_mix,audio/mix_000033.wav,28.4,3,电子伴奏循环播放。
mix_000034,random_mix,audio/mix_000034.wav,26.0,3,背景音乐持续播放，节奏平稳。
mix_000035,random_mix,audio/mix_000035.wav,15.8,2,一次玻璃破碎声。
mix_000036,random_mix,audio/mix_000036.wav,13.7,4,说话者描述当前场景。
mix_000037,random_mix,audio/mix_000037.wav,15.5,2,说话者描述当前场景。
mix_000038,random_mix,audio/mix_000038.wav,21.5,4,一名说话者正在讲话。
mix_000039,random_mix,audio/mix_000039.wav,12.4,3,说话者描述当前场景。
mix_000040,random_mix,audio/mix_000040.wav,24.0,3,一名说话者正在讲话。
mix_000041,random_mix,audio/mix_000041.wav,20.9,3,"""月亮代表我的心"""
mix_000042,random_mix,audio/mix_000042.wav,13.0,2,说话者描述当前场景。
mix_000043,random_mix,audio/mix_000043.wav,28.4,4,短促的撞击声。
mix_000044,random_mix,audio/mix_000044.wav,10.3,4,A glass breaking sound.
mix_000045,random_mix,audio/mix_000045.wav,14.8,2,Background music plays steadily.
mix_000046,random_mix,audio/mix_000046.wav,22.7,2,"""月亮代表我的心"""
mix_000047,random_mix,audio/mix_000047.wav,22.2,4,远处的犬吠。
mix_000048,random_mix,audio/mix_000048.wav,29.7,3,"""月亮代表我的心"""
mix_000049,random_mix,audio/mix_000049.wav,10.1,2,A speaker is talking.
mix_000050,random_mix,audio/mix_000050.wav,17.6,3,"""don't stop believing, hold on to that feeling"""
mix_000051,random_mix,audio/mix_000051.wav,23.2,4,"""月亮代表我的心"""
mix_000052,random_mix,audio/mix_000052.wav,20.6,2,说话者描述当前场景。
mix_000053,random_mix,audio/mix_000053.wav,13.9,4,"""take me home tonight"""
mix_000054,random_mix,audio/mix_000054.wav,10.4,2,Background music plays steadily.
mix_000055,random_mix,audio/mix_000055.wav,16.9,2,说话者描述当前场景。
mix_000056,random_mix,audio/mix_000056.wav,19.2,3,"""la la la, dancing in the rain"""
mix_000057,random_mix,audio/mix_000057.wav,27.0,4,A speaker is talking.
mix_000058,random_mix,audio/mix_000058.wav,25.2,4,"""don't stop believing, hold on to that feeling"""
mix_000059,random_mix,audio/mix_000059.wav,13.9,4,Background music plays steadily.
mix_000060,random_mix,audio/mix_000060.wav,21.6,4,"""don't stop believing, hold on to that feeling"""
mix_000061,random_mix,audio/mix_000061.wav,28.3,2,"""月亮代表我的心"""
mix_000062,random_mix,audio/mix_000062.wav,13.7,3,一次玻璃破碎声。
mix_000063,random_mix,audio/mix_000063.wav,17.5,3,"""la la la, dancing in the rain"""
mix_000064,random_mix,audio/mix_000064.wav,11.3,2,说话者描述当前场景。
mix_000065,random_mix,audio/mix_000065.wav,24.8,3,一名说话者正在讲话。
mix_000066,random_mix,audio/mix_000066.wav,13.8,3,Background music plays steadily.
mix_000067,random_mix,audio/mix_000067.wav,28.6,2,短促的撞击声。
mix_000068,random_mix,audio/mix_000068.wav,16.9,4,远处的犬吠。
mix_000069,random_mix,audio/mix_000069.wav,25.9,2,Background music plays steadily.
mix_000070,random_mix,audio/mix_000070.wav,12.0,3,Background music plays steadily.
mix_000071,random_mix,audio/mix_000071.wav,27.1,4,"""la la la, dancing in the rain"""
mix_000072,random_mix,audio/mix_000072.wav,14.1,4,一名说话者正在讲话。
mix_000073,random_mix,audio/mix_000073.wav,28.0,2,一次玻璃破碎声。
mix_000074,random_mix,audio/mix_000074.wav,13.5,3,说话者描述当前场景。
mix_000075,random_mix,audio/mix_000075.wav,13.3,4,"""take me home tonight"""
mix_000076,random_mix,audio/mix_000076.wav,10.5,3,Background music plays steadily.
mix_000077,random_mix,audio/mix_000077.wav,25.8,2,远处的犬吠。
mix_000078,random_mix,audio/mix_000078.wav,10.4,4,一名说话者正在讲话。
mix_000079,random_mix,audio/mix_000079.wav,15.3,3,说话者描述当前场景。
mix_000080,random_mix,audio/mix_000080.wav,16.6,2,一次玻璃破碎声。
mix_000081,random_mix,audio/mix_000081.wav,17.2,4,A speaker is talking.
mix_000082,random_mix,audio/mix_000082.wav,12.2,3,一名说话者正在讲话。
mix_000083,random_mix,audio/mix_000083.wav,20.3,4,A glass breaking sound.
mix_000084,random_mix,audio/mix_000084.wav,10.7,3,远处的犬吠。
mix_000085,random_mix,audio/mix_000085.wav,24.7,3,"""don't stop believing, hold on to that feeling"""
mix_000086,random_mix,audio/mix_000086.wav,25.0,4,短促的撞击声。
mix_000087,random_mix,audio/mix_000087.wav,10.7,3,A speaker is talking.
mix_000088,random_mix,audio/mix_000088.wav,15.3,2,"""don't stop believing, hold on to that feeling"""
mix_000089,random_mix,audio/mix_000089.wav,22.8,2,A speaker is talking.
mix_000090,random_mix,audio/mix_000090.wav,23.9,2,"""la la la, dancing in the rain"""
mix_000091,random_mix,audio/mix_000091.wav,17.1,4,一名说话者正在讲话。
mix_000092,random_mix,audio/mix_000092.wav,25.4,2,"""don't stop believing, hold on to that feeling"""
mix_000093,random_mix,audio/mix_000093.wav,19.1,2,电子伴奏循环播放。
mix_000094,random_mix,audio/mix_000094.wav,11.5,2,"""don't stop believing, hold on to that feeling"""
mix_000095,random_mix,audio/mix_000095.wav,28.5,2,"""la la la, dancing in the rain"""
mix_000096,random_mix,audio/mix_000096.wav,23.3,4,背景音乐持续播放，节奏平稳。
mix_000097,random_mix,audio/mix_000097.wav,14.5,4,一次玻璃破碎声。
mix_000098,random_mix,audio/mix_000098.wav,19.6,2,"""take me home tonight"""
mix_000099,random_mix,audio/mix_000099.wav,19.7,3,A glass breaking sound.
mix_000100,random_mix,audio/mix_000100.wav,26.3,3,远处的犬吠。
mix_000101,random_mix,audio/mix_000101.wav,29.7,3,"""don't stop believing, hold on to that feeling"""
