clip_id,audio_path,duration,n_sources,source_1_category,source_1_onset,source_1_offset,source_1_caption,source_2_category,source_2_onset,source_2_offset,source_2_caption,source_3_category,source_3_onset,source_3_offset,source_3_caption,audio_natural,caption_accurate,notes
realmix_0164,audio/realmix_0164.wav,8.0,3,hand_saw,0.6s,5.6s,"The audio features the rhythmic shaking of keys, with 27 distinct, sharp metallic clinks following a",washing_machine,2.0s,7.0s,"A 3 kHz pure sine tone, steady for 300 ms, from a test oscillator, in a silent lab with no backgroun",drinking_sipping,1.1s,6.1s,"A 4 seconds high-fidelity stereo audio captures a person drinking water in a quiet indoor setting, s",,,
realmix_0029,audio/realmix_0029.wav,8.0,3,door_wood_creaks,0.7s,5.7s,"A small electric motor, likely from a kitchen gadget or personal grooming device, briefly runs in an",rain,2.0s,7.0s,"The intense roar of a massive waterfall dominates the soundscape, with a continuous rush of water cr",drinking_sipping,0.3s,5.3s,"A toilet flush occurs followed by a toilet refill sound, inside a quiet bathroom.",,,
realmix_0007,audio/realmix_0007.wav,8.0,3,clock_alarm,0.0s,5.0s,"The audio features a loud, metallic ringing alarm with a clear, sharp sound and no noticeable space ",laughing,0.4s,5.4s,"A lively indoor gathering fills the space with overlapping laughter and animated speech, creating a ",airplane,1.1s,6.1s,Passing cars in the middle of the night,,,
realmix_0190,audio/realmix_0190.wav,8.0,3,pouring_water,0.6s,5.6s,"A close-mic recording captures a container being vigorously agitated, causing several metallic objec",hen,1.3s,6.3s,"In a domestic kitchen, the rhythmic sound of a single dog’s sharp, rapid barks punctuates the ambien",mouse_click,1.6s,6.6s,Soft whisper and faint hum go together in a whispery breath,,,
realmix_0071,audio/realmix_0071.wav,8.0,2,wind,0.1s,5.1s,A powerful low-frequency rumble and high-frequency hiss dominate this five-second high-fidelity fiel,sheep,0.8s,5.8s,The audio is classified as containing no discernible speech or ASR content and instead consists of a,,,,,,,
realmix_0063,audio/realmix_0063.wav,8.0,2,clock_tick,1.7s,6.7s,"In this clip, a rhythmic vocal sample from a female performer repeats the phrase 'do it do it' over ",frog,0.4s,5.4s,"The audio captures three sharp, high-pitched honks from a duck in an open, outdoor environment with ",,,,,,,
realmix_0058,audio/realmix_0058.wav,8.0,2,laughing,1.0s,6.0s,"A high-energy burst of mixed-gender laughter dominates a noisy, reverberant indoor environment, with",door_wood_creaks,0.7s,5.7s,"A large, distressed cow emits a prolonged, high-pitched, and strained vocalization in an open farm p",,,,,,,
realmix_0036,audio/realmix_0036.wav,8.0,2,crying_baby,0.8s,5.8s,"The audio captures the distress of a young child crying, abruptly shifting to the steady tone of a p",brushing_teeth,1.4s,6.4s,Eating sounds and ambient noise in a coffee shop.,,,,,,,
realmix_0189,audio/realmix_0189.wav,8.0,3,helicopter,0.8s,5.8s,"The audio features an abrupt and continuous low-frequency rumble, primarily composed of turbulent ai",glass_breaking,0.8s,5.8s,"A delicate ceramic dish shatters into sharp, scattered fragments against an otherwise quiet interior",can_opening,0.0s,5.0s,"A set of keys is accidentally dropped twice into a hard-surfaced room, producing sharp, high-frequen",,,
realmix_0027,audio/realmix_0027.wav,8.0,3,glass_breaking,1.8s,6.8s,"A small metal pan falls from a countertop and strikes a hard surface, producing a sharp, high-pitche",rain,1.6s,6.6s,"A medium-sized indoor environment with hard surfaces generates a reverberant acoustic signature, cle",pig,0.0s,5.0s,"The audio is a short, close-up recording of the sounds made by a person chewing.",,,
