clip_id,audio_path,duration,scene_name,gt_n_events,gt_events,pred_n_events,pred_events,pred_format_ok,match,errors,notes
rv6k_0982,audio/rv6k_0982.wav,11.535888328948838,speech_with_music,2,speech [1.2-6.9] A man announces his victory and the crow | music [4.6-11.5] A solo nylon-string acoustic guitar play,2,speech [1.2-6.9] A male speaker shouts aggressively into  | music [4.1-11.5] A male vocalist sings softly with an aco,Y,mixed,correct=1 halluc=1 omit=1,
rv6k_0915,audio/rv6k_0915.wav,11.04461108971022,speech_with_sfx,2,speech [2.3-7.8] A cinematic orchestral score establishes | sfx [3.9-8.9] A lively indoor gymnasium hosts a fast-p,2,speech [2.3-7.8] A male voice speaks a single Korean phra | sfx [3.9-8.9] A quiet indoor space is suddenly disrupt,Y,correct,correct=2 halluc=0 omit=0,
rv6k_0904,audio/rv6k_0904.wav,11.306191051725616,speech_with_sfx,2,"speech [4.7-10.3] In a large enclosed arena filled with am | sfx [3.8-8.8] A single loud door slam in a quiet, reve",2,sfx [3.8-8.8] A quiet indoor space is suddenly filled  | speech [4.5-10.3] A male speaker shouts aggressively in a ,Y,mixed,correct=1 halluc=1 omit=1,
rv6k_0995,audio/rv6k_0995.wav,10.074160529608497,park_afternoon,3,"sfx [3.3-8.3] ""Who's not like everyone else?"" asks Mab | sfx [2.7-7.7] A soft, plaintive yowl from a content ca | sfx [1.5-6.5] A deep, low-frequency roar combined with",3,"sfx [1.5-6.5] A large diesel engine, likely from a tru | sfx [3.1-7.1] A young child is heard crying in a small | sfx [4.1-9.1] A high-pitched, rhythmic chirping from c",Y,mixed,correct=1 halluc=2 omit=2,
rv6k_0936,audio/rv6k_0936.wav,9.254210370190219,park_afternoon,3,"sfx [2.0-7.0] A coffee grinder operates in a kitchen,  | sfx [2.2-7.2] The audio captures a short, sharp burst  | sfx [0.4-5.4] Sudden urgency breaks the stillness of a",3,"sfx [0.4-5.4] A low, continuous mechanical hum fills t | sfx [2.0-6.0] A small dog barks rapidly and energetica | sfx [2.1-7.1] A high-pressure water spray from a showe",Y,mixed,correct=2 halluc=1 omit=1,
rv6k_0932,audio/rv6k_0932.wav,10.934102257120472,speech_with_sfx,2,"speech [0.6-6.0] A soft piano plays a gentle, melancholic | sfx [3.0-8.0] A single, loud wood knock occurs at 0.00",2,"speech [0.6-6.1] A cinematic orchestral score unfolds wit | sfx [2.9-7.9] A large diesel engine idles steadily, pr",Y,mixed,correct=1 halluc=1 omit=1,
rv6k_0929,audio/rv6k_0929.wav,10.287611015096772,restaurant_busy,3,"sfx [3.1-8.1] A rhythmic metallic clinking occurs stea | sfx [3.5-8.5] A man is coughing twice in a quiet room, | music [1.4-10.3] This is a 10-second instrumental studio ",3,"music [1.4-10.3] A high-energy, 9.5-second instrumental e | sfx [1.7-6.7] A quiet indoor space with hard surfaces, | sfx [2.9-7.9] A sharp, high-pitched metallic click occ",Y,mixed,correct=1 halluc=2 omit=2,
rv6k_0918,audio/rv6k_0918.wav,9.406666146055857,restaurant_busy,3,"sfx [2.6-7.6] A quiet bedroom at night, where a person | sfx [4.2-9.2] A person coughs in a quiet, isolated env | music [1.7-9.4] This is a high-energy blues-rock instrum",3,music [1.6-9.4] A high-energy instrumental rock and roll | sfx [3.3-8.3] A small dog barks rapidly in a quiet ind | sfx [4.0-9.0] A serene outdoor garden scene is filled ,Y,mixed,correct=0 halluc=3 omit=3,
rv6k_0914,audio/rv6k_0914.wav,9.835157330357596,speech_with_music,2,"speech [0.5-5.4] A man sighs deeply and exasperatedly, sa | music [0.4-9.8] A solo violin performance unfolds with a",2,"music [0.4-9.8] A solo violin performance unfolds with e | speech [0.5-5.4] A man sighs deeply, then speaks a short ",Y,correct,correct=2 halluc=0 omit=0,
rv6k_0987,audio/rv6k_0987.wav,11.38867005880569,street_traffic,3,"sfx [3.7-7.7] A small electric motor operates continuo | sfx [4.7-8.7] A string ensemble performs a slow, disso | sfx [2.3-7.3] A person walking briskly across a hard f",3,"sfx [2.3-7.3] A set of keys is dropped onto a hard sur | sfx [4.7-8.7] A large diesel engine, likely from a tru | sfx [4.8-8.8] A high-pitched, distorted electronic sir",Y,mixed,correct=2 halluc=1 omit=1,
