clip_id,scene_name,audio_path,duration,n_sources,source_1_role,source_1_type,source_1_onset,source_1_offset,source_1_caption,source_1_present,source_2_role,source_2_type,source_2_onset,source_2_offset,source_2_caption,source_2_present,source_3_role,source_3_type,source_3_onset,source_3_offset,source_3_caption,source_3_present,audio_natural,caption_accurate,notes
rv6_0164,restaurant_busy,audio/rv6_0164.wav,10.6,3,ambience,sfx,4.2s,9.2s,"A deep, continuous rumble from a train moving through an enclosed subway tunnel forms the dominant s",True,sfx,sfx,1.9s,6.9s,"A young adult male, possibly a teenager or in his early twenties, produces two sharp, forceful cough",True,music,music,0.0s,10.6s,"The audio features an energetic jazz ensemble that is cut off suddenly by a loud, distorted electron",True,,,
rv6_0172,coffee_shop,audio/rv6_0172.wav,8.6,3,music,music,3.3s,8.6s,An eight second excerpt taken from a larger orchestral work reveals the quiet beginning of Tchaikovs,True,sfx,sfx,3.3s,8.3s,"A small plastic or metal object was manipulated and placed on a hard surface within a sterile, quiet",True,sfx,sfx,3.3s,8.3s,"Crisp, rhythmic clapping from a small group follows a brief digital tone, creating a burst of energe",True,,,
rv6_0187,speech_with_sfx,audio/rv6_0187.wav,9.0,2,speech,speech,2.2s,6.7s,"A young male narrator with a calm, solemn voice speaks in clear, formal Korean to open what sounds l",True,sfx,sfx,1.5s,6.5s,"A glass pane is shattered in an otherwise silent room when a single, forceful strike occurs at 0.20 ",True,,,,,,,,,
rv6_0142,restaurant_busy,audio/rv6_0142.wav,8.5,3,ambience,sfx,1.6s,6.6s,"A loud, metallic clatter and mechanical noise from a busy kitchen fill the open space, caused by hea",True,sfx,sfx,1.6s,6.6s,"A live audience in a spacious concert hall bursts into applause, the sound spreading expansively wit",True,music,music,2.9s,8.5s,"The audio is a 6-second instrumental jazz-fusion passage featuring a crisp, energetic ride cymbal pa",True,,,
rv6_0182,speech_with_sfx,audio/rv6_0182.wav,11.7,2,speech,speech,1.9s,7.7s,"A Korean male speaker delivers two short phrases with clear articulation, followed by a sustained sy",True,sfx,sfx,4.3s,9.3s,"A ceramic object crashes against an unyielding surface within a confined, reflective interior enviro",True,,,,,,,,,
rv6_0113,concert_outdoor,audio/rv6_0113.wav,11.6,3,music,music,6.2s,11.6s,"A high-energy, upbeat jazz piece plays in a small-to-medium indoor lounge, featuring live musicians ",True,sfx,sfx,0.2s,4.2s,"A young female experiences a sudden and intense water spray, likely from a domestic shower, in a con",True,ambience,sfx,6.6s,11.6s,"The audio depicts a spacious industrial interior dominated by a relentless, low-frequency mechanical",True,,,
rv6_0034,speech_with_music,audio/rv6_0034.wav,10.2,2,speech,speech,0.7s,5.9s,"A man unleashes a guttural curse at extreme volume into a large, reverberant space, triggering an im",True,music,music,4.5s,10.2s,"This is a short, instrumental funk track with a fast tempo of approximately 153 BPM, centered in the",True,,,,,,,,,
rv6_0049,speech_with_music,audio/rv6_0049.wav,8.3,2,speech,speech,3.2s,7.4s,"A brief, intense orchestral burst establishes a cinematic atmosphere of suspense and grandeur, abrup",True,music,music,1.1s,8.3s,"A playful, waltz-like piano phrase played in a bright, mechanical style, with a slightly muffled and",True,,,,,,,,,
rv6_0120,concert_outdoor,audio/rv6_0120.wav,10.6,3,music,music,1.8s,10.6s,"A solo classical piano piece unfolds with elegant melodic phrasing and consistent rhythmic pacing, s",True,sfx,sfx,2.9s,7.9s,"The audio presents a powerful sequence of energetic hand claps from a large audience, captured with ",True,ambience,sfx,3.0s,8.0s,"The recording captures a continuous low-frequency hum from an operating fan in a quiet, enclosed ind",True,,,
rv6_0188,speech_with_music,audio/rv6_0188.wav,9.5,2,speech,speech,2.4s,7.2s,The recording captures a male voice declaring a violent act amidst ongoing crowd noise before a stro,True,music,music,1.3s,9.5s,"A tenor saxophone performs alone in a quiet, acoustically resonant space, with no background noises ",True,,,,,,,,,
