clip_id,scene_name,scene_desc,audio_path,duration,n_sources,source_1_role,source_1_type,source_1_category,source_1_onset,source_1_offset,source_1_caption,source_2_role,source_2_type,source_2_category,source_2_onset,source_2_offset,source_2_caption,source_3_role,source_3_type,source_3_category,source_3_onset,source_3_offset,source_3_caption,audio_natural,caption_accurate,notes
rv10_0171,random,A mixed scene,audio/rv10_0171.wav,8.9,2,vocal,vocal,singing,2.7s,7.2s,A low humming vibration from a computer fan is heard in a quiet indoor environme,vocal,vocal,singing,0.6s,5.0s,"A male vocalist performs two phrases—""Sayin'..."" and ""Look at—""—with resonant pr",,,,,,,,,
rv10_0796,random,A mixed scene,audio/rv10_0796.wav,9.7,3,sfx,sfx,dog,2.7s,3.7s,A single sharp bark from a small dog with a high-pitched tone occurs centrally i,speech,speech,english,5.4s,9.7s,"A woman narrates a passage about a priest's conversion, describing his sorrow ul",music,music,instrumental,5.1s,9.7s,"A solo concert flute performs a lyrical, expressive melodic line with clear phra",,,
rv10_0590,random,A mixed scene,audio/rv10_0590.wav,8.1,4,sfx,sfx,car_horn,3.2s,5.0s,"A piercing, high-reverberation train horn blasts continuously throughout the sce",music,music,instrumental,3.0s,8.1s,"A melancholic solo bagpipe performance evoking Scottish folk traditions, with a ",vocal,vocal,singing,4.3s,8.1s,"A steady, low-frequency hum from an operating household refrigerator sets a calm",,,
rv10_0746,random,A mixed scene,audio/rv10_0746.wav,10.3,4,sfx,sfx,pig,1.9s,6.9s,"A calm male voice begins speaking, which is suddenly interrupted by a loud, high",sfx,sfx,chirping_birds,5.3s,10.3s,Morning birdsong followed by sudden music.,music,music,instrumental,1.5s,10.3s,"A male vocalist delivers a melancholic, folk-inspired performance supported by r",,,
rv10_0197,random,A mixed scene,audio/rv10_0197.wav,11.3,3,speech,speech,english,0.7s,6.3s,The audio clip is a brief two-paragraph conversation discussing the 'salad baske,vocal,vocal,singing,1.6s,7.2s,A male vocalist sings emotionally expressive lyrics in a small indoor space with,music,music,instrumental,3.8s,11.3s,A dynamic jazz ensemble performance unfolds with a bright trumpet leading a live,,,
rv10_0114,random,A mixed scene,audio/rv10_0114.wav,11.7,4,sfx,sfx,hand_saw,0.4s,5.4s,"Rapid, forceful tearing of thick material captured in a dry, close-miked recordi",music,music,instrumental,4.0s,11.7s,This is a 10-second excerpt of the first movement of Vivaldi’s “Summer” concerta,vocal,vocal,singing,7.3s,11.7s,A pure sine tone unfolds with unwavering consistency in a highly controlled acou,,,
rv10_0804,random,A mixed scene,audio/rv10_0804.wav,8.4,4,sfx,sfx,mouse_click,2.2s,6.9s,"A series of mechanical and digital sounds occur in a quiet, acoustically reflect",sfx,sfx,crackling_fire,3.9s,8.4s,"The audio presents a tightly focused, high-fidelity recording of intense, repeti",sfx,sfx,church_bells,5.0s,8.4s,"A deep, resonant bell tolls once in a vast space, its sound marked by a clear at",,,
rv10_0478,random,A mixed scene,audio/rv10_0478.wav,9.0,2,sfx,sfx,door_wood_creaks,4.1s,9.0s,"The sound is high-pitched and intense, the engine revving hard with a mechanical",music,music,instrumental,6.1s,9.0s,"A haunting piano melody unfolds in a vast, empty space, its high-pitched notes e",,,,,,,,,
rv10_0970,random,A mixed scene,audio/rv10_0970.wav,8.1,4,vocal,vocal,singing,4.8s,8.1s,"A breathy, slightly wavering female alto voice sings a heartfelt pop melody with",sfx,sfx,mouse_click,1.7s,5.4s,The audio captures a still indoor environment marked by the continuous operation,sfx,sfx,can_opening,4.0s,4.8s,Up-close stereo recording of a mechanical switch click and sustained hum capture,,,
rv10_0170,random,A mixed scene,audio/rv10_0170.wav,11.0,4,speech,speech,english,2.7s,6.8s,"A woman speaks quietly and gently, affirming with a soft, breathy voice after a ",vocal,vocal,singing,5.1s,6.1s,"A male voice speaks the word ""Baby"" in a soft, gentle whisper within a quiet ind",music,music,instrumental,2.9s,11.0s,"A brief and energetic excerpt from the guitar-driven instrumental rock piece ""Th",,,
