scene_id,template,mixture_path,duration,n_events,first_event_text
mix_000001,speech_music_lyrics_sfx,audio/mix_000001.wav,24.6,4,"""don't stop believing, hold on to that feeling"""
mix_000002,speech_music_lyrics_sfx,audio/mix_000002.wav,11.3,4,"""take me home tonight"""
mix_000003,isolated_sfx,audio/mix_000003.wav,15.4,1,A glass breaking sound.
mix_000004,music_with_sfx,audio/mix_000004.wav,17.6,2,背景音乐持续播放，节奏平稳。
mix_000005,repeated_event,audio/mix_000005.wav,10.0,1,一次玻璃破碎声。
mix_000006,isolated_sfx,audio/mix_000006.wav,16.0,1,远处的犬吠。
mix_000007,speech_music_lyrics_sfx,audio/mix_000007.wav,10.8,4,一名说话者正在讲话。
mix_000008,speech_music_sfx,audio/mix_000008.wav,15.9,3,背景音乐持续播放，节奏平稳。
mix_000009,repeated_event,audio/mix_000009.wav,23.4,1,A glass breaking sound.
mix_000010,ambient_with_intermittent_sfx,audio/mix_000010.wav,11.6,2,Ambient room tone.
mix_000011,overlapping_speakers,audio/mix_000011.wav,10.7,2,说话者描述当前场景。
mix_000012,repeated_event,audio/mix_000012.wav,22.5,1,一次玻璃破碎声。
mix_000013,speech_music_sfx,audio/mix_000013.wav,12.5,3,Background music plays steadily.
mix_000014,speech_music_lyrics_sfx,audio/mix_000014.wav,21.8,4,电子伴奏循环播放。
mix_000015,lyrics_over_music,audio/mix_000015.wav,14.2,2,背景音乐持续播放，节奏平稳。
mix_000016,music_with_sfx,audio/mix_000016.wav,16.8,2,Background music plays steadily.
mix_000017,overlapping_speakers,audio/mix_000017.wav,18.6,2,说话者描述当前场景。
mix_000018,overlapping_speakers,audio/mix_000018.wav,26.3,2,一名说话者正在讲话。
mix_000019,speech_music_lyrics_sfx,audio/mix_000019.wav,27.2,4,背景音乐持续播放，节奏平稳。
mix_000020,overlapping_speakers,audio/mix_000020.wav,18.4,2,一名说话者正在讲话。
mix_000021,speech_music_sfx,audio/mix_000021.wav,25.8,3,电子伴奏循环播放。
mix_000022,lyrics_over_music,audio/mix_000022.wav,24.6,2,背景音乐持续播放，节奏平稳。
mix_000023,overlapping_speakers,audio/mix_000023.wav,28.6,2,一名说话者正在讲话。
mix_000024,lyrics_over_music,audio/mix_000024.wav,12.1,2,电子伴奏循环播放。
mix_000025,repeated_event,audio/mix_000025.wav,17.1,1,一次玻璃破碎声。
mix_000026,speech_over_music,audio/mix_000026.wav,16.0,2,Background music plays steadily.
mix_000027,isolated_sfx,audio/mix_000027.wav,14.2,1,远处的犬吠。
mix_000028,lyrics_over_music,audio/mix_000028.wav,12.3,2,背景音乐持续播放，节奏平稳。
mix_000029,overlapping_speakers,audio/mix_000029.wav,25.7,2,说话者描述当前场景。
mix_000030,overlapping_speakers,audio/mix_000030.wav,17.5,2,一名说话者正在讲话。
mix_000031,repeated_event,audio/mix_000031.wav,17.6,1,远处的犬吠。
mix_000032,speech_music_lyrics_sfx,audio/mix_000032.wav,24.1,4,Background music plays steadily.
mix_000033,music_with_sfx,audio/mix_000033.wav,28.4,2,背景音乐持续播放，节奏平稳。
mix_000034,speech_music_lyrics_sfx,audio/mix_000034.wav,26.0,4,"""la la la, dancing in the rain"""
mix_000035,ambient_with_intermittent_sfx,audio/mix_000035.wav,15.8,2,雨声背景。
mix_000036,speech_over_music,audio/mix_000036.wav,13.7,2,背景音乐持续播放，节奏平稳。
mix_000037,lyrics_over_music,audio/mix_000037.wav,15.5,2,背景音乐持续播放，节奏平稳。
mix_000038,speech_music_sfx,audio/mix_000038.wav,21.5,3,电子伴奏循环播放。
mix_000039,speech_music_lyrics_sfx,audio/mix_000039.wav,12.4,4,Background music plays steadily.
mix_000040,lyrics_over_music,audio/mix_000040.wav,24.0,2,电子伴奏循环播放。
mix_000041,speech_over_music,audio/mix_000041.wav,20.9,2,电子伴奏循环播放。
mix_000042,repeated_event,audio/mix_000042.wav,13.0,1,一次玻璃破碎声。
mix_000043,overlapping_speakers,audio/mix_000043.wav,28.4,2,A speaker is talking.
mix_000044,music_with_sfx,audio/mix_000044.wav,10.3,2,Background music plays steadily.
mix_000045,speech_music_sfx,audio/mix_000045.wav,14.8,3,电子伴奏循环播放。
mix_000046,overlapping_speakers,audio/mix_000046.wav,22.7,2,A speaker is talking.
mix_000047,music_with_sfx,audio/mix_000047.wav,22.2,2,Background music plays steadily.
mix_000048,ambient_with_intermittent_sfx,audio/mix_000048.wav,29.7,2,Ambient room tone.
mix_000049,music_with_sfx,audio/mix_000049.wav,10.1,2,Background music plays steadily.
mix_000050,overlapping_speakers,audio/mix_000050.wav,17.6,2,一名说话者正在讲话。
mix_000051,speech_music_lyrics_sfx,audio/mix_000051.wav,23.2,4,电子伴奏循环播放。
mix_000052,isolated_sfx,audio/mix_000052.wav,20.6,1,一次玻璃破碎声。
mix_000053,speech_over_music,audio/mix_000053.wav,13.9,2,电子伴奏循环播放。
mix_000054,speech_music_sfx,audio/mix_000054.wav,10.4,3,A speaker is talking.
mix_000055,repeated_event,audio/mix_000055.wav,16.9,1,A glass breaking sound.
mix_000056,overlapping_speakers,audio/mix_000056.wav,19.2,2,A speaker is talking.
mix_000057,speech_over_music,audio/mix_000057.wav,27.0,2,电子伴奏循环播放。
