clip_id,template,audio_path,duration,gt_n_events,gt_events,pred_n_events,pred_events,error_type,n_halluc,n_omit,n_correct,human_label_correct,human_notes
mix_000194,ambient_with_intermittent_sfx,audio/mix_000194.wav,26.6,2,sfx [0.0-12.4] 雨声背景。 | sfx [4.7-5.0] 短促的撞击声。,2,sfx [0.0-12.5] 雨声背景。 | sfx [4.5-5.0] 远处的犬吠。,mixed,2,2,0,,
mix_000116,ambient_with_intermittent_sfx,audio/mix_000116.wav,19.6,2,sfx [0.0-15.9] 雨声背景。 | sfx [5.4-5.9] 短促的撞击声。,2,sfx [0.0-16.0] 雨声背景。 | sfx [5.0-6.0] 短促的撞击声。,mixed,2,2,0,,
mix_000473,ambient_with_intermittent_sfx,audio/mix_000473.wav,29.2,2,sfx [0.0-15.0] 持续的环境噪声。 | sfx [2.0-3.0] 远处的犬吠。,2,sfx [0.0-15.0] Ambient room tone. | sfx [2.0-3.0] 短促的撞击声。,correct,0,0,2,,
mix_000279,ambient_with_intermittent_sfx,audio/mix_000279.wav,24.8,2,sfx [0.0-10.5] 雨声背景。 | sfx [7.5-8.5] 远处的犬吠。,2,sfx [0.0-10.5] Ambient room tone. | sfx [7.5-8.5] 远处的犬吠。,correct,0,0,2,,
mix_000399,ambient_with_intermittent_sfx,audio/mix_000399.wav,16.3,2,sfx [0.0-16.0] 持续的环境噪声。 | sfx [2.5-3.0] 一次玻璃破碎声。,2,sfx [0.0-16.0] Ambient room tone. | sfx [2.5-3.0] 短促的撞击声。,correct,0,0,2,,
mix_000480,isolated_sfx,audio/mix_000480.wav,23.8,1,sfx [2.2-2.5] 远处的犬吠。,1,sfx [2.0-3.0] A glass breaking sound.,mixed,1,1,0,,
mix_000487,isolated_sfx,audio/mix_000487.wav,11.1,1,sfx [2.5-3.5] 远处的犬吠。,1,sfx [2.7-3.3] A glass breaking sound.,mixed,1,1,0,,
mix_000093,isolated_sfx,audio/mix_000093.wav,19.1,1,sfx [2.0-3.0] 一次玻璃破碎声。,1,sfx [2.0-3.0] 一次玻璃破碎声。,correct,0,0,1,,
mix_000287,isolated_sfx,audio/mix_000287.wav,11.6,1,sfx [0.0-1.0] 远处的犬吠。,1,sfx [0.0-1.0] 一次玻璃破碎声。,correct,0,0,1,,
mix_000198,isolated_sfx,audio/mix_000198.wav,28.3,1,sfx [3.5-4.5] A glass breaking sound.,1,sfx [3.5-4.5] 一次玻璃破碎声。,correct,0,0,1,,
mix_000015,lyrics_over_music,audio/mix_000015.wav,14.2,2,"music [0.0-10.0] 背景音乐持续播放，节奏平稳。 | lys [5.0-11.0] ""月亮代表我的心""",2,"music [0.0-9.5] 电子伴奏循环播放。 | lys [5.0-11.0] ""la la la, dancing in the rain",mixed,1,1,1,,
mix_000199,lyrics_over_music,audio/mix_000199.wav,15.7,2,"music [0.0-14.0] Background music plays steadil | lys [4.5-8.0] ""la la la, dancing in the rain",2,"music [0.0-14.0] 电子伴奏循环播放。 | lys [4.0-8.0] ""take me home tonight""",mixed,1,1,1,,
mix_000104,lyrics_over_music,audio/mix_000104.wav,20.5,2,"music [0.0-14.0] 背景音乐持续播放，节奏平稳。 | lys [4.0-8.0] ""la la la, dancing in the rain",2,"music [0.0-14.0] 电子伴奏循环播放。 | lys [4.0-8.0] ""月亮代表我的心""",correct,0,0,2,,
mix_000428,lyrics_over_music,audio/mix_000428.wav,25.8,2,"music [0.0-9.0] Background music plays steadil | lys [4.0-10.0] ""la la la, dancing in the rain",2,"music [0.0-9.0] 电子伴奏循环播放。 | lys [4.0-10.0] ""月亮代表我的心""",correct,0,0,2,,
mix_000186,lyrics_over_music,audio/mix_000186.wav,11.3,2,"music [0.0-11.0] Background music plays steadil | lys [1.0-6.0] ""don't stop believing, hold on",2,"music [0.0-11.0] 电子伴奏循环播放。 | lys [1.0-6.0] ""take me home tonight""",correct,0,0,2,,
mix_000016,music_with_sfx,audio/mix_000016.wav,16.8,2,music [0.0-12.0] Background music plays steadil | sfx [4.0-5.0] 一次玻璃破碎声。,2,music [0.0-11.5] Background music plays steadil | sfx [4.0-4.5] 短促的撞击声。,mixed,2,2,0,,
mix_000404,music_with_sfx,audio/mix_000404.wav,28.4,2,music [0.0-10.8] Background music plays steadil | sfx [5.7-5.9] 远处的犬吠。,2,music [0.0-11.0] 电子伴奏循环播放。 | sfx [5.0-6.0] 远处的犬吠。,mixed,2,2,0,,
mix_000140,music_with_sfx,audio/mix_000140.wav,14.4,2,music [0.0-10.0] 背景音乐持续播放，节奏平稳。 | sfx [1.0-2.0] 短促的撞击声。,2,music [0.0-10.0] 电子伴奏循环播放。 | sfx [1.0-2.0] 远处的犬吠。,correct,0,0,2,,
mix_000190,music_with_sfx,audio/mix_000190.wav,12.0,2,music [0.0-12.0] 背景音乐持续播放，节奏平稳。 | sfx [3.5-4.5] 短促的撞击声。,2,music [0.0-12.0] Background music plays steadil | sfx [3.5-4.5] 远处的犬吠。,correct,0,0,2,,
mix_000160,music_with_sfx,audio/mix_000160.wav,18.0,2,music [0.0-10.5] 电子伴奏循环播放。 | sfx [3.5-4.0] A glass breaking sound.,2,music [0.0-10.5] 电子伴奏循环播放。 | sfx [3.5-4.0] 远处的犬吠。,correct,0,0,2,,
mix_000452,overlapping_speakers,audio/mix_000452.wav,21.5,2,speech [6.0-12.0] 说话者描述当前场景。 | speech [8.0-13.0] 一名说话者正在讲话。,2,speech [6.8-10.7] 说话者描述当前场景。 | speech [8.6-12.2] A speaker is talking.,mixed,2,2,0,,
mix_000383,overlapping_speakers,audio/mix_000383.wav,29.1,2,speech [7.6-10.2] 说话者描述当前场景。 | speech [11.3-15.3] A speaker is talking.,2,speech [7.5-10.0] A speaker is talking. | speech [11.0-16.0] A speaker is talking.,mixed,2,2,0,,
mix_000050,overlapping_speakers,audio/mix_000050.wav,17.6,2,speech [0.5-4.0] 一名说话者正在讲话。 | speech [5.0-7.5] A speaker is talking.,2,speech [0.5-4.0] 说话者描述当前场景。 | speech [5.0-7.5] 说话者描述当前场景。,correct,0,0,2,,
mix_000020,overlapping_speakers,audio/mix_000020.wav,18.4,2,speech [0.0-4.0] 一名说话者正在讲话。 | speech [2.0-7.0] A speaker is talking.,2,speech [0.0-4.0] 说话者描述当前场景。 | speech [2.0-7.0] A speaker is talking.,correct,0,0,2,,
mix_000017,overlapping_speakers,audio/mix_000017.wav,18.6,2,speech [3.0-8.0] 说话者描述当前场景。 | speech [5.0-8.0] 一名说话者正在讲话。,2,speech [3.0-8.0] 说话者描述当前场景。 | speech [5.0-8.0] A speaker is talking.,correct,0,0,2,,
mix_000244,repeated_event,audio/mix_000244.wav,29.4,1,sfx [9.0-12.0] 一次玻璃破碎声。,1,sfx [9.0-11.0] 一次玻璃破碎声。,mixed,1,1,0,,
mix_000421,repeated_event,audio/mix_000421.wav,28.0,1,sfx [1.7-6.7] 一次玻璃破碎声。,1,sfx [1.5-7.0] 一次玻璃破碎声。,mixed,1,1,0,,
mix_000042,repeated_event,audio/mix_000042.wav,13.0,1,sfx [2.0-5.0] 一次玻璃破碎声。,1,sfx [2.0-5.0] 一次玻璃破碎声。,correct,0,0,1,,
mix_000431,repeated_event,audio/mix_000431.wav,10.5,1,sfx [4.0-9.0] 一次玻璃破碎声。,1,sfx [4.0-9.0] A glass breaking sound.,correct,0,0,1,,
mix_000281,repeated_event,audio/mix_000281.wav,19.6,1,sfx [2.0-4.0] 短促的撞击声。,1,sfx [2.0-4.0] 一次玻璃破碎声。,correct,0,0,1,,
mix_000450,speech_music_lyrics_sfx,audio/mix_000450.wav,17.4,4,"music [0.0-9.0] 电子伴奏循环播放。 | lys [4.0-8.0] ""don't stop believing, hold on | sfx [4.0-5.0] A glass breaking sound. | speech [6.0-11.0] 说话者描述当前场景。",4,"music [0.0-9.0] Background music plays steadil | sfx [4.0-5.0] 短促的撞击声。 | lys [4.0-11.0] ""月亮代表我的心"" | speech [6.0-11.0] A speaker is talking.",mixed,1,1,3,,
mix_000001,speech_music_lyrics_sfx,audio/mix_000001.wav,24.6,4,"lys [0.0-5.5] ""don't stop believing, hold on | music [0.0-9.5] 电子伴奏循环播放。 | speech [5.5-9.5] A speaker is talking. | sfx [7.0-7.5] A glass breaking sound.",3,"music [0.0-9.5] 电子伴奏循环播放。 | lys [0.0-5.5] ""月亮代表我的心"" | speech [5.5-9.5] A speaker is talking.",omission,0,1,3,,
mix_000489,speech_music_lyrics_sfx,audio/mix_000489.wav,25.0,4,"music [0.0-12.0] 背景音乐持续播放，节奏平稳。 | speech [2.0-6.0] A speaker is talking. | sfx [4.0-5.0] 短促的撞击声。 | lys [6.0-9.0] ""don't stop believing, hold on",4,"music [0.0-12.0] 电子伴奏循环播放。 | speech [2.0-6.0] A speaker is talking. | sfx [4.0-5.0] 远处的犬吠。 | lys [6.0-9.0] ""la la la, dancing in the rain",correct,0,0,4,,
mix_000080,speech_music_lyrics_sfx,audio/mix_000080.wav,16.6,4,"music [0.0-11.5] 电子伴奏循环播放。 | sfx [1.0-1.5] 远处的犬吠。 | speech [4.0-9.0] A speaker is talking. | lys [5.0-9.0] ""take me home tonight""",4,"music [0.0-11.5] 电子伴奏循环播放。 | sfx [1.0-1.5] 远处的犬吠。 | speech [4.0-9.0] A speaker is talking. | lys [5.0-9.0] ""take me home tonight""",correct,0,0,4,,
mix_000177,speech_music_sfx,audio/mix_000177.wav,10.1,3,music [0.0-10.1] 背景音乐持续播放，节奏平稳。 | sfx [3.4-3.6] 远处的犬吠。 | speech [3.9-6.8] 一名说话者正在讲话。,3,music [0.0-10.0] Background music plays steadil | sfx [3.0-4.0] 远处的犬吠。 | speech [3.0-7.0] A speaker is talking.,mixed,3,3,0,,
mix_000278,speech_music_sfx,audio/mix_000278.wav,26.2,3,music [0.0-12.5] 背景音乐持续播放，节奏平稳。 | speech [6.5-11.0] 一名说话者正在讲话。 | sfx [8.0-8.5] 一次玻璃破碎声。,3,music [0.0-12.5] Background music plays steadil | speech [6.5-11.5] A speaker is talking. | sfx [8.0-8.5] 远处的犬吠。,mixed,1,1,2,,
