clip_id,scene_name,audio_path,duration,n_sources,source_1_role,source_1_type,source_1_onset,source_1_offset,source_1_caption,source_2_role,source_2_type,source_2_onset,source_2_offset,source_2_caption,source_3_role,source_3_type,source_3_onset,source_3_offset,source_3_caption,audio_natural,caption_accurate,notes
rv7_0373,coffee_shop,audio/rv7_0373.wav,11.8,3,music,music,2.4s,11.8s,"A heavily distorted electric guitar opens the track with a driving riff, panned slightly to the left",sfx,sfx,1.1s,1.7s,"A sharp, high-pitched metallic click—indicating the activation of a pressurized metal can through a ",sfx,sfx,1.7s,6.5s,**Global context:** The audio captures a quiet interior setting with dry acoustic characteristics an,,,
rv7_0664,speech_with_music,audio/rv7_0664.wav,9.4,2,speech,speech,0.4s,5.1s,"A low synthetic drone pulses beneath a cinematic orchestral swell, establishing a tense, anticipator",music,music,3.8s,9.4s,"A high-energy rock music excerpt, 9.5 seconds in duration, features a live-performance-style instrum",,,,,,,,
rv7_0504,speech_with_sfx,audio/rv7_0504.wav,11.4,2,speech,speech,4.9s,9.9s,"A heavy exhale fills the space at the onset, lasting until 1.08 seconds, centered in the mix with cl",sfx,sfx,5.9s,10.9s,A low-level hiss from HVAC or recording equipment forms the quiet background bed throughout the 5.00,,,,,,,,
rv7_0806,speech_with_sfx,audio/rv7_0806.wav,9.6,2,speech,speech,3.7s,8.4s,A dramatic orchestral score with intense brass and percussion dominates the acoustic space from the ,sfx,sfx,0.4s,5.4s,"A large, densely packed crowd in a spacious indoor venue unleashes intense applause that immediately",,,,,,,,
rv7_0162,speech_with_music,audio/rv7_0162.wav,11.7,2,speech,speech,5.0s,10.8s,"A male voice speaks two clear phrases in Korean—""두 비선수"" followed by ""미래를 원한다면""—within a reverberant ",music,music,5.5s,11.7s,"A cello and violin perform a tightly wound pizzicato motif with sharp, staccato articulation, the bo",,,,,,,,
rv7_0907,speech_with_music,audio/rv7_0907.wav,8.9,2,speech,speech,2.8s,7.1s,"A low-frequency, resonant thud initiates the audio, likely from an object such as a hand or foot imp",music,music,4.0s,8.9s,A plucked string instrument—possibly a guitar or banjo—plays a continuous melodic line from the star,,,,,,,,
rv7_0459,restaurant_busy,audio/rv7_0459.wav,9.8,3,ambience,sfx,3.3s,8.2s,"A sharp release of compressed air initiates the sequence, marking the beginning of machinery startup",sfx,sfx,3.0s,7.5s,"A female singer laughs in a large, empty room with strong reverberation, producing a continuous, hig",music,music,4.7s,9.8s,"A continuous instrumental passage unfolds, built from layered synthesized textures including bright,",,,
rv7_0972,speech_with_music,audio/rv7_0972.wav,8.0,2,speech,speech,2.8s,6.8s,"A deep, low-frequency drone fills the space from the start, resonating with strong echo and persiste",music,music,2.0s,8.0s,"A female vocalist delivers a clear, melodic phrase in Spanish—“Ah, qué alegría…”—with light melodic ",,,,,,,,
rv7_0456,coffee_shop,audio/rv7_0456.wav,9.0,3,music,music,4.0s,9.0s,"A smooth jazz trio performs in a small, acoustically warm room with no background noise or extraneou",sfx,sfx,0.5s,5.5s,"A heavy commercial kitchen door slides across a hard metal track on a stainless steel cart, generati",sfx,sfx,2.5s,6.1s,"A brief, muffled thud occurs at the beginning of the recording, signaling movement or body adjustmen",,,
rv7_0840,speech_with_music,audio/rv7_0840.wav,9.2,2,speech,speech,1.7s,6.2s,A quiet indoor environment with a subtle reverberation from hard surfaces establishes a calm and enc,music,music,4.2s,9.2s,"A female vocalist performs a sustained, resonant note marked by melismatic phrasing within a large, ",,,,,,,,
